1512,2010-04-29,139.0,swap
1511,2010-04-28,143.0,sa
1513,2010-04-30,116.0,north
167,2006-06-25,85.0,nwap
214,2006-08-23,94.0,nwap
215,2006-08-24,120.0,nwap
477,2007-05-18,107.0,nwap
478,2007-05-19,86.0,nwap
893,2008-07-17,81.0,nwap
1224,2009-06-26,125.0,nwap
1256,2009-07-28,82.0,nwap
1547,2010-06-03,145.0,nwap
1548,2010-06-04,149.0,nwap
1575,2010-07-07,88.0,nwap
1617,2010-08-18,101.0,nwap
1618,2010-08-19,97.0,nwap
1623,2010-08-24,90.0,nwap
824,2008-05-09,100.0,swap
823,2008-05-08,102.0,swap
155,2006-06-07,99.0,neap
515,2007-07-02,80.0,neap
1225,2009-06-27,138.0,neap
1226,2009-06-28,100.0,neap
1227,2009-06-29,91.0,neap
475,2007-05-16,197.0,sa
1549,2010-06-05,97.0,sa
1514,2010-05-01,81.0,north
238,2006-09-16,84.0,nwap
239,2006-09-17,83.0,nwap
1649,2010-09-22,116.0,nwap
