"date","power"
"2012-06-02",544
"2012-06-03",765
"2012-06-04",660
"2012-06-05",819
"2012-06-06",543
"2012-06-07",776
"2012-06-08",371
"2012-06-09",808
"2012-06-10",697
"2012-06-11",576
"2012-06-12",615
"2012-06-13",847
"2012-06-14",681
"2012-06-15",477
"2012-06-16",845
"2012-06-17",520
"2012-06-18",752
"2012-06-19",656
"2012-06-20",641
"2012-06-21",977
"2012-06-22",902
"2012-06-23",867
"2012-06-24",652
"2012-06-25",742
"2012-06-26",834
"2012-06-27",685
"2012-06-29",460
"2012-06-30",754
"2012-07-02",643
"2012-07-03",826
"2012-07-04",598
"2012-07-05",688
"2012-07-06",815
"2012-07-07",600
"2012-07-08",535
"2012-07-09",594
"2012-07-10",991
"2012-07-11",845
"2012-07-12",487
"2012-07-13",538
"2012-07-14",618
"2012-07-15",791
"2012-07-16",882
"2012-07-17",863
"2012-07-18",542
"2012-07-19",621
"2012-07-20",647
"2012-07-21",624
"2012-07-22",582
"2012-07-23",930
"2012-07-24",634
"2012-07-25",616
"2012-07-26",965
"2012-07-27",493
"2012-07-28",823
"2012-07-29",628
"2012-07-30",367
"2012-07-31",479
"2012-08-02",969
"2012-08-03",877
"2012-08-04",574
"2012-08-05",773
"2012-08-06",853
"2012-08-07",613
"2012-08-08",936
"2012-08-09",806
"2012-08-10",598
"2012-08-11",1050
"2012-08-12",585
"2012-08-13",383
"2012-08-14",678
"2012-08-15",705
"2012-08-16",686
"2012-08-17",573
"2012-08-18",529
"2012-08-19",661
"2012-08-20",864
"2012-08-21",418
"2012-08-22",634
"2012-08-23",579
"2012-08-24",443
"2012-08-25",491
"2012-08-26",554
"2012-08-27",603
"2012-08-28",502
"2012-08-29",595
"2012-08-30",606
"2012-08-31",535
"2012-09-02",682
"2012-09-03",589
"2012-09-04",527
"2012-09-05",667
"2012-09-06",579
"2012-09-07",687
"2012-09-08",702
"2012-09-09",636
"2012-09-10",593
"2012-09-11",473
"2012-09-12",617
"2012-09-13",468
"2012-09-16",699
"2012-09-17",636
"2012-09-18",443
"2012-09-19",602
"2012-09-20",507
"2012-09-21",565
"2012-09-22",459
"2012-09-23",472
"2012-09-24",538
"2012-09-25",445
"2012-09-26",525
"2012-09-27",520
"2012-09-28",509
"2012-09-29",519
"2012-09-30",540
"2012-10-02",631
"2012-10-03",464
"2012-10-04",657
"2012-10-05",478
"2012-10-06",459
"2012-10-07",390
"2012-10-08",485
"2012-10-09",469
"2012-10-10",566
"2012-10-11",499
"2012-10-12",505
"2012-10-13",653
"2012-10-14",698
"2012-10-16",614
"2012-10-17",441
"2012-10-18",609
"2012-10-19",491
"2012-10-20",598
"2012-10-21",550
"2012-10-22",707
"2012-10-23",710
"2012-10-24",689
"2012-10-25",880
"2012-10-26",659
"2012-10-27",635
"2012-10-28",697
"2012-10-29",538
"2012-10-30",352
"2012-10-31",640
"2012-11-02",873
"2012-11-03",962
"2012-11-04",735
"2012-11-05",583
"2012-11-06",941
"2012-11-07",765
"2012-11-08",733
"2012-11-09",720
"2012-11-10",747
"2012-11-11",665
"2012-11-12",603
"2012-11-15",651
"2012-11-16",713
"2012-11-17",556
"2012-11-18",731
"2012-11-19",624
"2012-11-20",715
"2012-11-21",932
"2012-11-23",743
"2012-11-24",575
"2012-11-25",755
"2012-11-26",733
"2012-11-29",639
"2012-11-30",566
